product_id,productname,supplier_id,price,quantityonhand,markuppercentage,reorderlevel
1,Freestyle Pro,101,250,10,30,5
2,Street King,102,200,15,25,8
3,Park Master,103,180,5,20,4
4,Downhill Racer,101,300,8,35,6
5,Cruiser Deluxe,104,220,12,28,7
6,Classic Street,102,150,2,22,5
7,Speed Demon,103,280,6,32,5
8,Urban Cruiser,104,190,9,27,6
9,Airborne X,101,270,7,33,5
10,Rampage Pro,102,160,10,20,5
11,Velocity Max,103,230,12,29,6
12,Thunderbolt,104,210,11,27,6
28830,Airborne X5169,1016141,1505362,82685,223375,58758
14633,Street King5661,1046201,1606367,64821,298437,72768
124493,Street King9617,1016046,2304749,76388,259032,64267
104387,Rampage Pro8871,1014325,2206868,99282,257859,88082
28470,Downhill Racer8540,1038816,2709209,123281,256086,66727
34550,Classic Street7997,1034415,2201320,159283,338623,74050
99967,Urban Cruiser5477,1027419,2802735,55590,338675,51147
47316,Freestyle Pro6244,1036981,1901171,25546,356688,54493
79014,Freestyle Pro9702,1032801,2207968,66100,303836,56827
26048,Rampage Pro6993,1026631,1601588,109417,201348,57832
67095,Classic Street6661,1033208,1909425,58461,338445,63075
34989,Freestyle Pro2359,1035351,3005508,127845,334041,59133
11632,Airborne X3072,1022952,1905132,79456,285903,52669
109665,Park Master6499,1019846,3005973,105303,333975,54476
18212,Thunderbolt7533,1035278,1801329,118779,306467,52855
29503,Airborne X6417,1038768,1906286,74035,279683,49397
58587,Downhill Racer4748,1027611,3008544,94334,327626,51603
14766,Cruiser Deluxe6993,1024597,2307307,111878,293778,42017
97429,Freestyle Pro3375,1042144,1806053,102065,304599,58027
105428,Freestyle Pro2195,1014017,2301732,85502,292742,52934
122614,Thunderbolt6633,1036961,2506115,64954,333540,86756
29332,Velocity Max3871,1049196,2305161,124229,276344,65463
126046,Park Master1713,1043671,2201913,106071,282077,42958
78132,Classic Street8709,1013692,2708247,83705,332905,65076
106293,Street King7016,1021924,2504334,63949,277135,54262
109813,Park Master5869,1035720,2002878,121038,204862,59951
101463,Rampage Pro2826,1013082,2805288,74609,297450,56020
22339,Cruiser Deluxe4764,1024674,1808750,83763,228353,81852
52473,Thunderbolt7317,1041507,2803306,89878,353457,54012
122101,Classic Street4644,1024954,2307139,117506,251676,73747
123317,Cruiser Deluxe6765,1013076,3002672,151068,332394,42567
55896,Speed Demon7591,1039334,2101035,158564,202308,66918
39609,Rampage Pro3297,1037069,2501291,61116,354095,51811
121050,Speed Demon3882,1042806,2008331,52984,207992,73059
