Region,Product_Type,Sales_Amount,Payment_Method,Transaction_Time
East,Furniture,327,Debit Card,1:00 PM
West,Furniture,161,PayPal,11:00 AM
North,Groceries,892,Debit Card,7:00 PM
East,Furniture,522,Bitcoin,10:00 AM
East,Toys,795,Debit Card,7:00 PM
West,Furniture,737,PayPal,5:00 PM
North,Toys,441,Debit Card,9:00 PM
North,Furniture,192,PayPal,6:00 PM
East,Toys,81,Cash,2:00 PM
South,Furniture,230,PayPal,11:00 AM
East,Furniture,628,Debit Card,3:00 PM
East,Clothing,565,PayPal,8:00 PM
East,Toys,847,Credit Card,5:00 PM
East,Toys,318,PayPal,5:00 PM
West,Toys,285,PayPal,9:00 AM
North,Electronics,326,Credit Card,10:00 AM
West,Furniture,602,Credit Card,4:00 PM
West,Toys,682,Credit Card,7:00 PM
West,Electronics,324,Bitcoin,9:00 AM
East,Clothing,792,PayPal,7:00 PM
South,Toys,865,Credit Card,8:00 PM
North,Toys,135,Credit Card,7:00 PM
South,Electronics,112,Cash,11:00 AM
West,Furniture,453,Bitcoin,7:00 PM
West,Clothing,241,PayPal,3:00 PM
South,Toys,342,Debit Card,4:00 PM
South,Furniture,80,Bitcoin,1:00 PM
South,Clothing,379,Bitcoin,10:00 AM
West,Groceries,707,Cash,11:00 AM
West,Groceries,156,PayPal,5:00 PM
North,Clothing,920,PayPal,9:00 PM
North,Electronics,671,Credit Card,7:00 PM
West,Clothing,325,Credit Card,9:00 PM
South,Clothing,771,Bitcoin,6:00 PM
South,Electronics,700,Cash,3:00 PM
North,Electronics,647,PayPal,9:00 PM
West,Furniture,605,Cash,9:00 AM
North,Furniture,131,Debit Card,11:00 AM
North,Electronics,113,PayPal,5:00 PM
East,Groceries,939,Credit Card,3:00 PM
East,Groceries,979,Bitcoin,8:00 PM
East,Clothing,904,Cash,9:00 PM
South,Toys,882,Credit Card,9:00 PM
West,Clothing,616,Bitcoin,9:00 PM
West,Clothing,635,Credit Card,10:00 AM
West,Toys,934,PayPal,2:00 PM
West,Electronics,178,Cash,5:00 PM
East,Groceries,305,Debit Card,12:00 PM
South,Clothing,983,Credit Card,6:00 PM
South,Toys,280,Cash,10:00 AM
East,Furniture,546,PayPal,11:00 AM
South,Clothing,186,Credit Card,3:00 PM
East,Groceries,912,PayPal,12:00 PM
West,Electronics,504,Debit Card,3:00 PM
East,Clothing,962,Debit Card,1:00 PM
West,Clothing,404,Bitcoin,4:00 PM
West,Toys,673,Bitcoin,4:00 PM
North,Furniture,534,Bitcoin,1:00 PM
East,Furniture,869,PayPal,3:00 PM
North,Electronics,195,Bitcoin,7:00 PM
East,Groceries,82,Cash,2:00 PM
East,Electronics,309,PayPal,9:00 PM
North,Clothing,136,PayPal,4:00 PM
North,Clothing,892,Bitcoin,5:00 PM
East,Furniture,997,Bitcoin,1:00 PM
South,Groceries,314,PayPal,3:00 PM
West,Toys,881,Debit Card,9:00 AM
North,Groceries,591,Debit Card,7:00 PM
West,Clothing,441,Bitcoin,4:00 PM
South,Toys,281,Debit Card,11:00 AM
South,Groceries,950,Cash,9:00 AM
South,Groceries,637,Cash,2:00 PM
North,Toys,496,Cash,9:00 PM
South,Clothing,178,PayPal,4:00 PM
North,Groceries,320,PayPal,7:00 PM
South,Toys,138,PayPal,11:00 AM
West,Clothing,515,PayPal,9:00 AM
West,Toys,983,PayPal,11:00 AM
East,Toys,219,Bitcoin,1:00 PM
West,Groceries,177,Debit Card,7:00 PM
East,Clothing,223,Bitcoin,4:00 PM
West,Groceries,998,Debit Card,5:00 PM
North,Electronics,75,Bitcoin,9:00 PM
West,Electronics,622,Cash,8:00 PM
East,Clothing,560,Credit Card,5:00 PM
East,Toys,537,PayPal,12:00 PM
South,Groceries,940,Credit Card,4:00 PM
North,Groceries,628,Credit Card,7:00 PM
West,Clothing,999,Cash,1:00 PM
South,Clothing,455,Credit Card,11:00 AM
West,Electronics,75,Credit Card,1:00 PM
West,Furniture,132,Cash,10:00 AM
South,Clothing,413,Debit Card,7:00 PM
South,Furniture,416,Bitcoin,7:00 PM
South,Clothing,109,Credit Card,7:00 PM
South,Toys,600,PayPal,2:00 PM
South,Toys,684,Cash,9:00 AM
West,Electronics,341,Credit Card,2:00 PM
South,Electronics,838,Debit Card,9:00 PM
North,Furniture,986,Debit Card,1:00 PM
East,Clothing,935,PayPal,9:00 PM
South,Groceries,865,Credit Card,5:00 PM
South,Electronics,843,PayPal,9:00 PM
West,Groceries,240,Debit Card,3:00 PM
South,Groceries,510,Debit Card,2:00 PM
South,Clothing,853,Bitcoin,7:00 PM
South,Furniture,713,Debit Card,8:00 PM
West,Clothing,945,Cash,3:00 PM
South,Electronics,282,Bitcoin,6:00 PM
East,Groceries,523,PayPal,1:00 PM
West,Clothing,454,Debit Card,9:00 AM
East,Clothing,707,Cash,5:00 PM
West,Clothing,320,Bitcoin,1:00 PM
South,Electronics,896,Cash,12:00 PM
East,Furniture,183,Bitcoin,2:00 PM
West,Clothing,220,Bitcoin,1:00 PM
